Date;Open;High;Low;Last Close;Chg.%;
"04/07/2011";"1277.50";"1277.50";"1269.80";"1272.60";"-0.22%";
"04/08/2011";"1270.00";"1272.90";"1268.30";"1270.90";"-0.13%";
"04/11/2011";"1269.60";"1271.90";"1263.40";"1263.70";"-0.57%";
"04/12/2011";"1247.50";"1247.50";"1235.00";"1237.10";"-2.10%";
"04/13/2011";"1237.40";"1249.60";"1236.40";"1249.60";"+1.01%";
"04/14/2011";"1248.40";"1248.40";"1233.70";"1235.20";"-1.15%";
"04/15/2011";"1236.50";"1240.90";"1232.30";"1240.00";"+0.39%";
"04/18/2011";"1241.10";"1245.70";"1220.60";"1223.30";"-1.35%";
"04/19/2011";"1225.30";"1232.50";"1222.30";"1232.50";"+0.75%";
"04/20/2011";"1232.10";"1241.90";"1231.50";"1241.90";"+0.76%";
"04/21/2011";"1240.60";"1254.80";"1239.90";"1254.80";"+1.04%";
"04/22/2011";"1252.10";"1253.50";"1250.40";"1251.60";"-0.26%";
"04/26/2011";"1251.20";"1251.40";"1245.00";"1248.40";"-0.26%";
"04/27/2011";"1248.60";"1263.70";"1248.40";"1263.60";"+1.22%";
"04/28/2011";"1258.60";"1264.20";"1255.90";"1264.20";"+0.05%";
"04/29/2011";"1263.90";"1267.90";"1259.60";"1261.00";"-0.25%";
"05/02/2011";"1262.30";"1275.10";"1262.30";"1275.10";"+1.12%";
"05/03/2011";"1267.40";"1270.90";"1261.20";"1262.80";"-0.96%";
"05/04/2011";"1263.50";"1272.90";"1261.00";"1272.90";"+0.80%";
"05/05/2011";"1269.80";"1270.50";"1253.50";"1258.90";"-1.10%";
"05/06/2011";"1260.30";"1262.30";"1251.70";"1262.30";"+0.27%";
"05/09/2011";"1259.60";"1268.20";"1256.30";"1266.10";"+0.30%";
"05/10/2011";"1270.60";"1271.40";"1258.70";"1264.80";"-0.10%";
"05/11/2011";"1264.90";"1268.10";"1259.80";"1268.10";"+0.26%";
"05/12/2011";"1260.90";"1263.30";"1253.70";"1259.70";"-0.66%";
"05/13/2011";"1265.20";"1268.70";"1257.70";"1265.70";"+0.48%";
"05/16/2011";"1260.20";"1261.20";"1250.90";"1256.50";"-0.73%";
"05/17/2011";"1256.20";"1257.00";"1247.60";"1251.70";"-0.38%";
"05/18/2011";"1252.10";"1257.70";"1244.70";"1244.70";"-0.56%";
"05/19/2011";"1242.30";"1259.10";"1242.30";"1254.10";"+0.76%";
"05/20/2011";"1255.90";"1258.10";"1249.40";"1255.20";"+0.09%";
"05/23/2011";"1247.70";"1247.70";"1234.60";"1244.70";"-0.84%";
"05/24/2011";"1243.30";"1249.00";"1237.90";"1246.50";"+0.14%";
"05/25/2011";"1242.90";"1242.90";"1235.20";"1241.10";"-0.43%";
"05/26/2011";"1248.60";"1250.30";"1240.10";"1241.20";"+0.01%";
"05/27/2011";"1243.80";"1246.20";"1239.00";"1239.00";"-0.18%";
"05/30/2011";"1239.00";"1244.10";"1238.20";"1238.20";"-0.06%";
"05/31/2011";"1240.40";"1249.70";"1239.40";"1248.90";"+0.86%";
"06/01/2011";"1250.90";"1252.50";"1245.10";"1245.80";"-0.25%";
"06/02/2011";"1240.40";"1240.40";"1232.70";"1240.00";"-0.47%";
"06/03/2011";"1227.00";"1233.10";"1220.50";"1231.60";"-0.68%";
